error_type,category,text,true_label,predicted_prob,source,diagnostic_note
FALSE POSITIVE,political disagreement,Trump was outraged every time Obama played golf as president. So did other conservatives with Obama Obsession Syndrome.,0,0.5176,toxicity_model_error,Triggered on pattern in political disagreement; non-toxic context misattributed.
FALSE POSITIVE,friendly banter,"hahahaha.   Keep talking Hillary.  Tell ""your"" truth, shame the democr....I mean the devil.   LOL   but either eay..please keep talking. hai",0,0.5068,toxicity_model_error,Triggered on pattern in friendly banter; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,When the sexual harassment/assault dialogue moves to the pro sports world the headlines will be endless.,0,0.5662,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,"It is not just stalmating. There is darn right bullying, deception, and brainwashing  occurring around the country.",0,0.7011,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,"""The world is still run by older white men who probably use a comb-over and have a decades-younger wife.""  John, John, John your condescendi",0,0.8253,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,This is not the first priest that O'Malley has turned his back on.  And he is the man who Pope Francis has chosen to head several committees,0,0.5516,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,He had the guts to go to Mexico and face the music. Yet it's been 270 days since Hillary has faced the Press... Who's the coward ?,0,0.8249,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,"ACH:  C'mon, he was just dumbing it down so you might better understand.  Clearly he didn't dumb it down enough for you.",0,0.9086,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,Young blood................,0,0.5926,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,identity mention,"Honestly , really if we are going to be completely honest ...there probably is not enough money in  the world to pay a moral ethical person ",0,0.7622,toxicity_model_error,Triggered on pattern in identity mention; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,I think you are mistaking his demeanor.  The former drama teacher does not understand what is going on and he is smart to keep his mouth shu,0,0.7274,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,Hate speech.,0,0.5394,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,friendly banter,"Lol .... 16 year old boys would love a shaggin wagon , they just need to black out those rear windows.",0,0.544,toxicity_model_error,Triggered on pattern in friendly banter; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,This is absolutely horrible.    What about Japan?,0,0.6818,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE NEGATIVE,long contextual hostility,"Yes, all China wants from us is our land and our other resources. And when they have all that... what's left? Canada will be gone. Trudeau i",1,0.4359,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"LCC has never had their crap together. By the time the Weld Tech building was built, the weld tech jobs had moved on...by the time they were",1,0.4265,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,"Personally, I'd vote for my cat before I vote for a Liberal. They're all criminals.",1,0.4183,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"Newsreader, Collins is much more effective discussing what is happening in this clerical hypocritical commission than remaining on it.  Perh",1,0.1891,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"At least these scholars are thinking for themselves, not something that is encouraged much in our schools - but should be. Issues such as th",1,0.0843,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Rearranging deck chairs on the Titanic.  Alaska better be focused on new resources and revenue streams and darn and quick at that.,1,0.4318,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,If some one helped you get where you are and you stab them in the back maybe you are the bully grow some thick skin you did not get where yo,1,0.241,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"Facts or the truth do not matter to Trump.  Following his past behavior, Trump will just ignore McCain and move on to his next falsehood.  T",1,0.4522,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Yes but not enough arses on seats.,1,0.0841,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,The only somewhat positive note in this whole tragic mess is at least the convictions will be a slam dunk.  Just from the details in this ar,1,0.3337,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"I swear that the ""goofier"" the president gets, his supporters scream for more!  We may see the last of the true Americans in our time.  The ",1,0.4871,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"If you pander to them and coddle them, they will come; and steal, deal drugs, maim and kill.  And I don't care if they are a minority of a m",1,0.4205,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,"Talk about ""strawmen.""  Do you really think the average sheriff's deputy or policeman is ""undertrained and immature"" compared to the average",1,0.2581,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,"""......for killing a Laysan albatross"" . He did much more damage than that ! In Singapore... he'd receive 45 lashes across his bare back.",1,0.453,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Or Trudeau will just elbow you to comply.,1,0.3904,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Orthotoxic faux Christianity NEEDS to be warred against.,1,0.4829,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"If you think it is so good exploring for oil in Alaska then join all those that have tried, like bankrupt Buccaneer, Cook Inlet Energy, Mill",1,0.2642,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Like everYthing else that you hear from deep ecologists it is rife with lies.,1,0.4214,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"Sadly your account is correct, but there is even more to it. Mrs. Kealoha was a greedy and corrupt person and her fraud and theft went beyon",1,0.1658,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Did you notice that Rempel went to Fox News to spew her anti-Canada lies?  No real news station would take her seriously.  I am sickened by ,1,0.3323,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,Where do they think the extra money is going to come from to pay for these increases in wages??? The prices of all consumer goods will have ,1,0.1717,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,"So give us your solution to the North Korean crisis, troll.",1,0.4773,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,Gabbard went to go look at the situation herself and your goofy democratic selfs freaks about it. Go figure. You people are loons. Sheeple.,1,0.4371,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,"That's the best you can come up with?  . I expect better, if you want my attention, at least be funny. . p.s. liking your own posts is forum",1,0.0601,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,What exactly is your point?  Were you thinking that your idiotic comment was somehow relevant?  Or do guns scare you somehow? Unfortunate th,1,0.2675,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,Tell them all to stock it in their butt.  They should set up their power grid better a long time ago instead letting themselves go bankrupt.,1,0.4531,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"[""No one would perceive that as a threat, I hope they don't,"" Bossert said, referring to the tweet.] Why would you hope they don't if you do",1,0.4906,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,long contextual hostility,"They don't mind paying more for? How much more? $5/gal? $8/gal? $10/gal? The second the price of gasoline rises above $3, the same people wh",1,0.2738,toxicity_model_error,Missed subtle toxicity pattern in long contextual hostility; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,"JJ: You forgot to acknowledge that Lesbians also murder their SO's just like Hetro's, Homosexuals, and  all the other groups do,  and Democr",1,0.4933,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,contextual insult,What other American president has boasted that there are no laws prohibiting presidential conflicts of interest? Has been so scornful of the,1,0.4925,toxicity_model_error,Missed subtle toxicity pattern in contextual insult; score remained sub-threshold.
FALSE NEGATIVE,ASR transcription failure,[ASR misheard 'I will hit you' as 'I will hear you'],1,0.08,ASR error (distinct from toxicity model),"Acoustic distortion led to benign phonetic transcript, preventing downstream detection."
